runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,1,36,FitnessArticleFormula,Greedy,3,3,300,false,true,false
1,1,10,FitnessArticleFormula,Greedy,4,5,300,false,true,false
1,1,24,FitnessArticleFormula,Greedy,5,9,300,false,true,false
1,1,69,FitnessArticleFormula,Greedy,6,12,300,false,true,false
1,1,576,FitnessArticleFormula,Greedy,7,16,300,false,true,false
2,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
2,1,6,FitnessArticleFormula,Greedy,4,5,300,false,true,false
2,1,12,FitnessArticleFormula,Greedy,5,9,300,false,true,false
2,1,20,FitnessArticleFormula,Greedy,6,12,300,false,true,false
2,1,426,FitnessArticleFormula,Greedy,7,16,300,false,true,false
3,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
3,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
3,1,6,FitnessArticleFormula,Greedy,5,9,300,false,true,false
3,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
3,1,387,FitnessArticleFormula,Greedy,7,16,300,false,true,false
4,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
4,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
4,1,10,FitnessArticleFormula,Greedy,5,9,300,false,true,false
4,1,14,FitnessArticleFormula,Greedy,6,12,300,false,true,false
4,1,404,FitnessArticleFormula,Greedy,7,16,300,false,true,false
5,1,7,FitnessArticleFormula,Greedy,3,3,300,false,true,false
5,1,5,FitnessArticleFormula,Greedy,4,5,300,false,true,false
5,1,11,FitnessArticleFormula,Greedy,5,9,300,false,true,false
5,1,19,FitnessArticleFormula,Greedy,6,12,300,false,true,false
5,1,413,FitnessArticleFormula,Greedy,7,16,300,false,true,false
6,1,3,FitnessArticleFormula,Greedy,3,3,300,false,true,false
6,1,4,FitnessArticleFormula,Greedy,4,5,300,false,true,false
6,1,8,FitnessArticleFormula,Greedy,5,9,300,false,true,false
6,1,15,FitnessArticleFormula,Greedy,6,12,300,false,true,false
6,1,412,FitnessArticleFormula,Greedy,7,16,300,false,true,false
7,1,2,FitnessArticleFormula,Greedy,3,3,300,false,true,false
7,1,5,FitnessArticleFormula,Greedy,4,5,300,false,true,false
7,1,8,FitnessArticleFormula,Greedy,5,9,300,false,true,false
7,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
7,1,400,FitnessArticleFormula,Greedy,7,16,300,false,true,false
8,1,3,FitnessArticleFormula,Greedy,3,3,300,false,true,false
8,1,5,FitnessArticleFormula,Greedy,4,5,300,false,true,false
8,1,7,FitnessArticleFormula,Greedy,5,9,300,false,true,false
8,1,13,FitnessArticleFormula,Greedy,6,12,300,false,true,false
8,1,399,FitnessArticleFormula,Greedy,7,16,300,false,true,false
9,1,3,FitnessArticleFormula,Greedy,3,3,300,false,true,false
9,1,4,FitnessArticleFormula,Greedy,4,5,300,false,true,false
9,1,9,FitnessArticleFormula,Greedy,5,9,300,false,true,false
9,1,14,FitnessArticleFormula,Greedy,6,12,300,false,true,false
9,1,398,FitnessArticleFormula,Greedy,7,16,300,false,true,false
10,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
10,1,9,FitnessArticleFormula,Greedy,4,5,300,false,true,false
10,1,6,FitnessArticleFormula,Greedy,5,9,300,false,true,false
10,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
10,1,418,FitnessArticleFormula,Greedy,7,16,300,false,true,false
11,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
11,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
11,1,18,FitnessArticleFormula,Greedy,5,9,300,false,true,false
11,1,21,FitnessArticleFormula,Greedy,6,12,300,false,true,false
11,1,395,FitnessArticleFormula,Greedy,7,16,300,false,true,false
12,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
12,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
12,1,14,FitnessArticleFormula,Greedy,5,9,300,false,true,false
12,1,15,FitnessArticleFormula,Greedy,6,12,300,false,true,false
12,1,389,FitnessArticleFormula,Greedy,7,16,300,false,true,false
13,1,3,FitnessArticleFormula,Greedy,3,3,300,false,true,false
13,1,7,FitnessArticleFormula,Greedy,4,5,300,false,true,false
13,1,8,FitnessArticleFormula,Greedy,5,9,300,false,true,false
13,1,13,FitnessArticleFormula,Greedy,6,12,300,false,true,false
13,1,396,FitnessArticleFormula,Greedy,7,16,300,false,true,false
14,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
14,1,8,FitnessArticleFormula,Greedy,4,5,300,false,true,false
14,1,0,FitnessArticleFormula,Greedy,5,9,300,false,true,false
14,1,23,FitnessArticleFormula,Greedy,6,12,300,false,true,false
14,1,405,FitnessArticleFormula,Greedy,7,16,300,false,true,false
15,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
15,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
15,1,16,FitnessArticleFormula,Greedy,5,9,300,false,true,false
15,1,16,FitnessArticleFormula,Greedy,6,12,300,false,true,false
15,1,403,FitnessArticleFormula,Greedy,7,16,300,false,true,false
16,1,3,FitnessArticleFormula,Greedy,3,3,300,false,true,false
16,1,1,FitnessArticleFormula,Greedy,4,5,300,false,true,false
16,1,0,FitnessArticleFormula,Greedy,5,9,300,false,true,false
16,1,27,FitnessArticleFormula,Greedy,6,12,300,false,true,false
16,1,381,FitnessArticleFormula,Greedy,7,16,300,false,true,false
17,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
17,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
17,1,17,FitnessArticleFormula,Greedy,5,9,300,false,true,false
17,1,14,FitnessArticleFormula,Greedy,6,12,300,false,true,false
17,1,405,FitnessArticleFormula,Greedy,7,16,300,false,true,false
18,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
18,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
18,1,16,FitnessArticleFormula,Greedy,5,9,300,false,true,false
18,1,21,FitnessArticleFormula,Greedy,6,12,300,false,true,false
18,1,407,FitnessArticleFormula,Greedy,7,16,300,false,true,false
19,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
19,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
19,1,31,FitnessArticleFormula,Greedy,5,9,300,false,true,false
19,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
19,1,377,FitnessArticleFormula,Greedy,7,16,300,false,true,false
20,1,4,FitnessArticleFormula,Greedy,3,3,300,false,true,false
20,1,5,FitnessArticleFormula,Greedy,4,5,300,false,true,false
20,1,11,FitnessArticleFormula,Greedy,5,9,300,false,true,false
20,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
20,1,384,FitnessArticleFormula,Greedy,7,16,300,false,true,false
21,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
21,1,7,FitnessArticleFormula,Greedy,4,5,300,false,true,false
21,1,9,FitnessArticleFormula,Greedy,5,9,300,false,true,false
21,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
21,1,386,FitnessArticleFormula,Greedy,7,16,300,false,true,false
22,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
22,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
22,1,16,FitnessArticleFormula,Greedy,5,9,300,false,true,false
22,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
22,1,425,FitnessArticleFormula,Greedy,7,16,300,false,true,false
23,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
