runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,1,48,FitnessBad0,Greedy,8,19,true,false,false
1,1,487,FitnessBad0,Greedy,9,25,true,false,false
1,0,1954,FitnessBad0,Greedy,10,29,true,false,false
1,1,6651,FitnessBad0,Greedy,11,35,true,false,false
1,1,9680,FitnessBad0,Greedy,12,39,true,false,false
1,1,34606,FitnessBad0,Greedy,13,45,true,false,false
1,1,51931,FitnessBad0,Greedy,14,51,true,false,false
1,1,93977,FitnessBad0,Greedy,15,56,true,false,false
1,1,104605,FitnessBad0,Greedy,16,60,true,false,false
2,1,7,FitnessBad0,Greedy,8,19,true,false,false
2,1,150,FitnessBad0,Greedy,9,25,true,false,false
2,0,1835,FitnessBad0,Greedy,10,29,true,false,false
2,1,9396,FitnessBad0,Greedy,11,35,true,false,false
2,1,7888,FitnessBad0,Greedy,12,39,true,false,false
2,1,25789,FitnessBad0,Greedy,13,45,true,false,false
2,1,42070,FitnessBad0,Greedy,14,51,true,false,false
2,1,84225,FitnessBad0,Greedy,15,56,true,false,false
2,1,101413,FitnessBad0,Greedy,16,60,true,false,false
3,1,7,FitnessBad0,Greedy,8,19,true,false,false
3,1,196,FitnessBad0,Greedy,9,25,true,false,false
3,0,2432,FitnessBad0,Greedy,10,29,true,false,false
3,1,10363,FitnessBad0,Greedy,11,35,true,false,false
3,1,10640,FitnessBad0,Greedy,12,39,true,false,false
3,1,33489,FitnessBad0,Greedy,13,45,true,false,false
3,1,50754,FitnessBad0,Greedy,14,51,true,false,false
3,1,94410,FitnessBad0,Greedy,15,56,true,false,false
3,1,105800,FitnessBad0,Greedy,16,60,true,false,false
4,1,8,FitnessBad0,Greedy,8,19,true,false,false
4,1,223,FitnessBad0,Greedy,9,25,true,false,false
4,0,2570,FitnessBad0,Greedy,10,29,true,false,false
4,1,10057,FitnessBad0,Greedy,11,35,true,false,false
4,1,10926,FitnessBad0,Greedy,12,39,true,false,false
4,1,33675,FitnessBad0,Greedy,13,45,true,false,false
4,1,50705,FitnessBad0,Greedy,14,51,true,false,false
4,1,93880,FitnessBad0,Greedy,15,56,true,false,false
4,1,105823,FitnessBad0,Greedy,16,60,true,false,false
5,1,7,FitnessBad0,Greedy,8,19,true,false,false
5,1,224,FitnessBad0,Greedy,9,25,true,false,false
5,0,2499,FitnessBad0,Greedy,10,29,true,false,false
5,1,10118,FitnessBad0,Greedy,11,35,true,false,false
5,1,11055,FitnessBad0,Greedy,12,39,true,false,false
5,1,33686,FitnessBad0,Greedy,13,45,true,false,false
5,1,50615,FitnessBad0,Greedy,14,51,true,false,false
5,1,92435,FitnessBad0,Greedy,15,56,true,false,false
5,1,105473,FitnessBad0,Greedy,16,60,true,false,false
6,1,10,FitnessBad0,Greedy,8,19,true,false,false
6,1,219,FitnessBad0,Greedy,9,25,true,false,false
6,0,2450,FitnessBad0,Greedy,10,29,true,false,false
6,1,9616,FitnessBad0,Greedy,11,35,true,false,false
6,1,10770,FitnessBad0,Greedy,12,39,true,false,false
6,1,33578,FitnessBad0,Greedy,13,45,true,false,false
6,1,50811,FitnessBad0,Greedy,14,51,true,false,false
6,1,93491,FitnessBad0,Greedy,15,56,true,false,false
6,1,105663,FitnessBad0,Greedy,16,60,true,false,false
7,1,0,FitnessBad0,Greedy,8,19,true,false,false
7,1,197,FitnessBad0,Greedy,9,25,true,false,false
7,0,2279,FitnessBad0,Greedy,10,29,true,false,false
7,1,10527,FitnessBad0,Greedy,11,35,true,false,false
7,1,10844,FitnessBad0,Greedy,12,39,true,false,false
7,1,33676,FitnessBad0,Greedy,13,45,true,false,false
7,1,51129,FitnessBad0,Greedy,14,51,true,false,false
7,1,93542,FitnessBad0,Greedy,15,56,true,false,false
7,1,105267,FitnessBad0,Greedy,16,60,true,false,false
8,1,0,FitnessBad0,Greedy,8,19,true,false,false
8,1,308,FitnessBad0,Greedy,9,25,true,false,false
8,0,2440,FitnessBad0,Greedy,10,29,true,false,false
8,1,9819,FitnessBad0,Greedy,11,35,true,false,false
8,1,10687,FitnessBad0,Greedy,12,39,true,false,false
8,1,33093,FitnessBad0,Greedy,13,45,true,false,false
8,1,51064,FitnessBad0,Greedy,14,51,true,false,false
8,1,93171,FitnessBad0,Greedy,15,56,true,false,false
8,1,105352,FitnessBad0,Greedy,16,60,true,false,false
9,1,5,FitnessBad0,Greedy,8,19,true,false,false
9,1,189,FitnessBad0,Greedy,9,25,true,false,false
9,0,2278,FitnessBad0,Greedy,10,29,true,false,false
