runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,1,735371,FitnessArticleFormula,Greedy,10,29,2000,false,true,false
2,1,830719,FitnessArticleFormula,Greedy,10,29,2000,false,true,false
3,1,909842,FitnessArticleFormula,Greedy,10,29,2000,false,true,false
1,0,2422,FitnessBad0,Greedy,10,29,2000,false,true,false
2,1,1712,FitnessBad0,Greedy,10,29,2000,false,true,false
3,0,1682,FitnessBad0,Greedy,10,29,2000,false,true,false
1,1,3894,FitnessBad0,Greedy,10,29,2000,true,true,false
2,1,3796,FitnessBad0,Greedy,10,29,2000,true,true,false
3,0,3733,FitnessBad0,Greedy,10,29,2000,true,true,false
1,0,1734,FitnessBad0,Greedy,10,29,2000,false,true,true
2,0,1536,FitnessBad0,Greedy,10,29,2000,false,true,true
3,0,1568,FitnessBad0,Greedy,10,29,2000,false,true,true
1,0,3716,FitnessBad0,Greedy,10,29,2000,true,true,true
2,0,3741,FitnessBad0,Greedy,10,29,2000,true,true,true
3,0,4242,FitnessBad0,Greedy,10,29,2000,true,true,true
1,0,2146,FitnessBad1,Greedy,10,29,2000,false,true,false
2,0,2192,FitnessBad1,Greedy,10,29,2000,false,true,false
3,0,2107,FitnessBad1,Greedy,10,29,2000,false,true,false
1,1,4351,FitnessBad1,Greedy,10,29,2000,true,true,false
2,0,4437,FitnessBad1,Greedy,10,29,2000,true,true,false
3,1,4906,FitnessBad1,Greedy,10,29,2000,true,true,false
1,0,2480,FitnessBad1,Greedy,10,29,2000,false,true,true
2,1,2564,FitnessBad1,Greedy,10,29,2000,false,true,true
3,1,2481,FitnessBad1,Greedy,10,29,2000,false,true,true
1,0,5018,FitnessBad1,Greedy,10,29,2000,true,true,true
2,1,5023,FitnessBad1,Greedy,10,29,2000,true,true,true
3,1,5012,FitnessBad1,Greedy,10,29,2000,true,true,true
1,1,7134,FitnessOutputSize,Greedy,10,29,2000,false,true,false
2,0,7960,FitnessOutputSize,Greedy,10,29,2000,false,true,false
3,0,7417,FitnessOutputSize,Greedy,10,29,2000,false,true,false
1,1,8357,FitnessOutputSize,Greedy,10,29,2000,true,true,false
2,0,9201,FitnessOutputSize,Greedy,10,29,2000,true,true,false
3,0,8322,FitnessOutputSize,Greedy,10,29,2000,true,true,false
1,0,3366,FitnessOutputSize,Greedy,10,29,2000,false,true,true
2,0,3582,FitnessOutputSize,Greedy,10,29,2000,false,true,true
3,0,4246,FitnessOutputSize,Greedy,10,29,2000,false,true,true
1,0,6400,FitnessOutputSize,Greedy,10,29,2000,true,true,true
2,0,6403,FitnessOutputSize,Greedy,10,29,2000,true,true,true
3,0,6086,FitnessOutputSize,Greedy,10,29,2000,true,true,true
1,1,2320,FitnessBadPosCount,Greedy,10,29,2000,false,true,false
2,0,2276,FitnessBadPosCount,Greedy,10,29,2000,false,true,false
3,0,2615,FitnessBadPosCount,Greedy,10,29,2000,false,true,false
1,1,5170,FitnessBadPosCount,Greedy,10,29,2000,true,true,false
2,1,4832,FitnessBadPosCount,Greedy,10,29,2000,true,true,false
3,1,5071,FitnessBadPosCount,Greedy,10,29,2000,true,true,false
1,0,2535,FitnessBadPosCount,Greedy,10,29,2000,false,true,true
2,1,2657,FitnessBadPosCount,Greedy,10,29,2000,false,true,true
3,1,2487,FitnessBadPosCount,Greedy,10,29,2000,false,true,true
1,1,5427,FitnessBadPosCount,Greedy,10,29,2000,true,true,true
2,0,5812,FitnessBadPosCount,Greedy,10,29,2000,true,true,true
3,1,5499,FitnessBadPosCount,Greedy,10,29,2000,true,true,true
1,0,4787,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,false
2,0,4583,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,false
3,0,5311,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,false
1,0,6367,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,false
2,0,7557,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,false
3,0,6881,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,false
1,0,3795,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,true
2,0,4470,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,true
3,0,4339,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,true
1,0,6877,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,true
2,0,6605,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,true
3,0,7188,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,true
1,0,2114,FitnessBad0,Greedy,10,29,2000,false,true,false
2,0,2085,FitnessBad0,Greedy,10,29,2000,false,true,false
1,0,4696,FitnessBad0,Greedy,10,29,2000,true,true,false
2,1,4485,FitnessBad0,Greedy,10,29,2000,true,true,false
1,0,2565,FitnessBad0,Greedy,10,29,2000,false,true,true
2,0,2105,FitnessBad0,Greedy,10,29,2000,false,true,true
1,0,4499,FitnessBad0,Greedy,10,29,2000,true,true,true
2,0,4676,FitnessBad0,Greedy,10,29,2000,true,true,true
1,0,2873,FitnessBad1,Greedy,10,29,2000,false,true,false
2,1,2697,FitnessBad1,Greedy,10,29,2000,false,true,false
1,1,5146,FitnessBad1,Greedy,10,29,2000,true,true,false
2,0,5082,FitnessBad1,Greedy,10,29,2000,true,true,false
1,1,2592,FitnessBad1,Greedy,10,29,2000,false,true,true
2,1,2615,FitnessBad1,Greedy,10,29,2000,false,true,true
1,1,5128,FitnessBad1,Greedy,10,29,2000,true,true,true
2,1,5164,FitnessBad1,Greedy,10,29,2000,true,true,true
1,0,7093,FitnessOutputSize,Greedy,10,29,2000,false,true,false
2,1,6678,FitnessOutputSize,Greedy,10,29,2000,false,true,false
1,1,8414,FitnessOutputSize,Greedy,10,29,2000,true,true,false
2,0,7782,FitnessOutputSize,Greedy,10,29,2000,true,true,false
1,0,3395,FitnessOutputSize,Greedy,10,29,2000,false,true,true
2,0,3561,FitnessOutputSize,Greedy,10,29,2000,false,true,true
1,0,5274,FitnessOutputSize,Greedy,10,29,2000,true,true,true
2,1,5296,FitnessOutputSize,Greedy,10,29,2000,true,true,true
1,0,2629,FitnessBadPosCount,Greedy,10,29,2000,false,true,false
2,1,2278,FitnessBadPosCount,Greedy,10,29,2000,false,true,false
1,1,4519,FitnessBadPosCount,Greedy,10,29,2000,true,true,false
2,1,4702,FitnessBadPosCount,Greedy,10,29,2000,true,true,false
1,1,2320,FitnessBadPosCount,Greedy,10,29,2000,false,true,true
2,1,2162,FitnessBadPosCount,Greedy,10,29,2000,false,true,true
1,1,4699,FitnessBadPosCount,Greedy,10,29,2000,true,true,true
2,1,4566,FitnessBadPosCount,Greedy,10,29,2000,true,true,true
1,0,4479,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,false
2,0,4353,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,false
1,0,6988,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,false
2,0,6500,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,false
1,0,3842,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,true
2,0,4657,FitnessMisplacedBitsAverage,Greedy,10,29,2000,false,true,true
1,0,6136,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,true
2,1,6243,FitnessMisplacedBitsAverage,Greedy,10,29,2000,true,true,true
1,1,791900,FitnessHammingDistance,Greedy,10,29,2000,false,true,false
2,1,834859,FitnessHammingDistance,Greedy,10,29,2000,false,true,false
1,1,770582,FitnessHammingDistance,Greedy,10,29,2000,true,true,false
2,1,795417,FitnessHammingDistance,Greedy,10,29,2000,true,true,false
1,0,7198,FitnessHammingDistance,Greedy,10,29,2000,false,true,true
2,0,8542,FitnessHammingDistance,Greedy,10,29,2000,false,true,true
1,0,9220,FitnessHammingDistance,Greedy,10,29,2000,true,true,true
2,0,10830,FitnessHammingDistance,Greedy,10,29,2000,true,true,true
1,1,2543,FitnessComposite1,Greedy,10,29,2000,false,true,false
2,1,2328,FitnessComposite1,Greedy,10,29,2000,false,true,false
1,1,6145,FitnessComposite1,Greedy,10,29,2000,true,true,false
2,1,5044,FitnessComposite1,Greedy,10,29,2000,true,true,false
1,1,2544,FitnessComposite1,Greedy,10,29,2000,false,true,true
2,1,2670,FitnessComposite1,Greedy,10,29,2000,false,true,true
1,1,5144,FitnessComposite1,Greedy,10,29,2000,true,true,true
